I,Q
-1.08291,-0.803245
-1.0703,0.651762
0.288265,0.824349
-0.541551,-1.14416
-0.926626,1.03334
-0.825224,1.01801
-0.857972,-0.744405
-0.744665,-1.14201
-0.974845,-0.794756
-0.727266,-0.922343
0.93686,-0.86892
-0.72105,0.941074
-0.718085,-1.00947
0.750871,-0.396799
0.436569,-0.436886
-0.466393,0.700328
-0.548357,0.793374
-0.625564,-0.731367
0.317957,-0.448714
0.840975,-0.673128
-0.629139,-0.523617
-0.754351,-0.732803
-0.97215,-0.579169
0.598088,0.938295
-0.661919,0.756902
-1.18339,-0.464001
0.552298,0.962289
-0.539458,0.788705
0.420066,0.318865
0.637028,0.943736
0.815805,0.748264
-0.675076,0.846133
-0.858218,0.141028
-0.944175,-0.243256
1.08184,-0.720438
0.253616,1.08034
0.566035,-1.04652
-0.298301,-0.52594
-0.906621,1.17107
0.994321,0.748155
-0.604954,0.78431
-0.836842,0.490274
0.77115,-0.779701
0.336354,-0.779169
-0.84525,0.823865
-0.814145,-0.444164
-0.818055,0.838757
1.03517,0.853118
0.727456,0.71853
0.404891,-0.858316
-0.713152,-0.663503
-1.26747,0.707767
0.553456,0.944959
-0.588965,-0.542171
-0.4629,-0.70013
-0.768191,-0.816147
0.740848,0.2974
-0.847215,0.612071
-0.670709,-0.697466
0.660886,0.551541
0.831174,0.658508
0.640908,-0.775195
-0.904872,-0.544942
-0.589211,-1.08804
-0.896423,-0.697234
-0.296997,0.92578
-1.00455,-0.805748
-0.895933,-0.643303
-0.823781,-0.610634
0.828219,0.748769
-0.666714,-0.514713
0.656078,0.707589
-1.05083,-0.766223
0.403638,-0.572244
0.633565,-0.71746
0.0793151,-1.23954
-0.632428,0.41443
0.758235,0.825713
-0.931421,-0.637011
-0.492926,0.679003
0.482653,0.662439
0.394373,0.698384
-0.737877,1.13386
-0.563402,0.905468
0.426264,-0.293404
-0.744688,-0.590891
0.506072,0.376953
-0.384983,0.3216
0.59478,-0.751821
0.580404,-0.687998
-0.67933,0.686393
0.644954,-0.901159
-1.01719,-0.254344
-0.781374,-0.764924
0.702807,-0.590698
-0.633654,-0.334196
0.864225,0.5634
-0.605736,-0.976796
-0.945949,-0.916722
-1.17529,1.11513
0.518264,-0.953252
0.455774,-1.0356
0.466598,-0.778613
-0.882435,0.346717
0.42271,0.81209
-0.707005,0.715058
0.79253,0.579793
-0.867915,-0.117272
1.05354,0.568543
-0.413853,-0.803724
0.847269,-0.75493
0.597089,0.526461
-1.16723,0.478149
0.462266,0.83901
-1.11008,-0.785201
-1.11965,0.32261
-0.474607,0.481968
0.91125,-0.885352
0.790102,0.456578
0.837376,-0.848491
0.934558,0.749307
0.968426,-0.639685
-0.807749,0.735165
1.10086,0.190729
-0.616482,-0.667393
0.583312,-0.475641
1.07948,-0.509692
0.647809,-0.565145
-1.05697,-0.76278
-0.681224,0.554896
-0.643488,-0.862341
0.917953,0.981566
0.328786,-0.601516
-0.641923,0.406196
0.565951,-0.860014
0.641672,-0.666224
0.74484,-0.633117
-0.50748,0.575409
0.553861,-0.60171
1.11693,0.954578
0.741038,-0.653745
0.643822,-0.837908
-0.724374,-0.725033
1.10204,-0.683225
0.934961,-0.706567
-0.612893,0.72763
-0.451974,-0.242125
0.772151,-0.596534
-0.854077,-0.63995
0.978578,-0.802539
-0.717088,0.471866
0.635907,-0.469083
0.606519,-0.612529
0.986002,-0.675931
0.645083,-0.653378
0.559541,0.0713301
0.702389,-0.648387
0.808174,-0.747749
0.685827,0.495606
0.800799,-0.378246
-0.436156,-0.739217
0.518372,0.795334
0.831191,-0.460904
0.706271,1.15198
0.744987,-0.393997
-0.462421,0.891226
-0.655291,0.90167
0.757625,-0.947508
0.923399,0.46725
0.768049,0.72104
0.967277,-1.15308
0.672986,0.664676
0.567031,-0.58874
0.887334,-0.785595
0.591199,0.894971
0.923536,-0.58496
0.0264861,-0.813507
-0.599832,1.02947
-0.697932,0.65753
0.396243,-0.593852
-0.627919,-0.678559
0.353131,0.327539
-0.957361,-0.85271
0.605284,-0.971463
-0.70949,0.448353
-0.640183,-1.09168
-0.512394,0.568494
0.622144,-0.517705
-0.51643,-0.368158
-0.909472,0.726118
-0.716098,0.486903
-0.899699,0.484674
0.622465,0.925784
-0.598209,0.568952
-0.652319,-0.522206
-0.529225,0.561021
0.54125,-0.549987
-0.82582,-0.729746
0.975099,0.743341
-0.637774,-0.794359
0.186614,-0.87278
0.364491,0.849975
-0.643417,-0.558263
-0.674584,0.732781
-0.492592,0.935024
0.53094,0.788485
0.59305,-0.66447
-0.911623,-1.03155
-0.742081,0.714986
-0.901887,0.421805
-0.863108,-0.59808
0.765321,0.460516
0.754232,-0.966225
0.642776,0.772614
-0.806577,0.881892
-0.53083,-0.982978
-0.831243,-0.819646
0.598946,0.675281
-0.460259,0.915928
0.969369,0.603296
0.813131,-0.782367
